Player,grupo_posicional,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Ryan Gravenberch,Pivote,3.6544097140285436,-0.6546285511352294,-0.8051560138752958,0.5047623352191573,-0.23150875957045716,0.7254630542572382,-0.2508386667367482,-0.3864435748432393,0.9670938912273775
James Garner,Pivote,2.5873478078058505,-0.11062029348391998,1.661856951962483,1.002154183913858,-0.8652754167307031,1.876652215058117,-0.3749601021640746,-0.7627779047270189,-0.2460734200468489
Ben Winterburn,Pivote,-3.603429603485288,-1.8346092537405625,-1.2885186628528429,-2.4629970052734134,-0.1734927217110475,-1.4103231248358012,-0.34050037792048427,-0.03381534465873067,0.6511153662610365
Wataru Endo,Pivote,-0.322155457968443,0.48195995712627354,2.9330648323495203,-0.2169796930927279,-3.2161940490488905,-0.8297861985932669,-1.5102678896586574,-0.2718930167027027,0.5230071796603912
Sofyan Amrabat,Pivote,-2.7242172093716563,0.2855064584673139,0.10497398972049678,0.6253649818826174,-0.060200660234947106,-0.9263181814732135,0.2529032435188506,-0.35741846592821314,0.9553695251976174
Gerard Gumbau,Pivote,0.5471483049847787,-0.21570378075779,3.5909920541794653,0.7826586430010098,0.38474915859631537,0.39905885598345625,-1.097056091402873,0.8123804233703541,-0.9344211194196045
Oriol Rey,Pivote,-1.645936681233515,-0.0046678622295357125,1.3117365681540627,-0.07917673102050059,-0.8730269631165404,-0.9394908894896256,-0.1108405090400463,0.08533463693958183,0.3299565950104615
Kervin Arriaga,Pivote,5.051231618828097,3.70090226825863,-0.0012076561987484633,-1.9476612304140302,0.5152612565587738,-0.5770640854551067,-0.49085789942278696,0.3406192220912299,-0.034840813241127554
Tomas Marques,Pivote,-3.7213480588573753,-0.7500391274510262,-1.032606699713127,-0.9732178831547132,0.29198789960563504,-2.0830809753008355,-0.8579406494798593,1.0996556492612128,-0.30557952665409627
Sergio Lozano,Pivote,-3.763126853045793,-1.132224403797769,-1.5706942228510694,-1.6213429015717264,-0.784001793633605,0.028933773165486544,-1.8058425136113485,0.34805530281796604,-0.36358231978049704
Leander Dendoncker,Pivote,1.4683865548008577,-1.3502994901019856,-1.7165076536226884,-0.3866826392242574,0.6502708782921854,-0.2553628980302729,-0.3389716210817282,0.06503704325065705,-1.0622112008544078
Batista Mendy,Pivote,0.8840535429582046,0.6423738584571536,-1.0763397768386422,2.0114824049654683,0.5729474918905109,-0.2653446726335847,-0.27292683744986707,0.0008201582449011808,0.7357920048123788
Federico Redondo,Pivote,-3.147432793549348,2.567045713774026,-1.111727454539124,-0.32098819599604544,-0.1816135219096702,0.6065192358613978,0.9091361628750362,-0.038058187838387596,0.9103475296788964
Damián Rodríguez,Pivote,-2.6745330401123764,-0.40234516948658355,1.024175110363388,0.25575843539660453,1.4145792097714824,-1.4640078590753143,0.08132867997301958,-0.3680073538422626,-0.9498398101522881
Carlos Benavídez,Pivote,-0.947268232291472,4.286462819259368,0.3451602459526468,-1.1859925054293143,3.3272461035183514,0.8920238575194473,-0.724136772864685,1.4149242358339924,0.29169188175218586
