Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
Yaya Diémé,Extremo derecho,Portu,0.8872,Yaser Asprilla,0.8637,Pablo Garcia,0.8323,Abu Kamara,0.7904,Zakaria Aboukhlal,0.7746,Adama Traoré,0.7481,Joel Asoro,0.7168,Cyriaque Irié,0.7151,Tiago Gouveia,0.7075,Rachid Ghezzal,0.6972,Seydou Fini,0.6933,Edon Zhegrova,0.6916,Mathieu Cafaro,0.6814,Jofre,0.6658,Leon Bailey,0.6611
Mathieu Cafaro,Extremo derecho,Alexander Legendre,0.7979,Lorenzo Venturino,0.773,Noah Edjouma,0.765,Joel Asoro,0.7648,Václav Černý,0.7572,Leon Bailey,0.7394,Romelle Donovan,0.7363,Yaser Asprilla,0.7083,Daniel James,0.7015,Shea Lacey,0.6954,Seydou Fini,0.6936,Youssoupha Niang,0.6891,Lazar Jovanović,0.6843,Yaya Diémé,0.6814,Samuel Chukwueze,0.6765
Marius Broholm,Extremo derecho,Ben Gannon-Doak,0.9832,Rodrygo,0.817,Francisco Conceição,0.7787,Rui Modesto,0.7393,Yeremi Pino,0.7324,Dilane Bakwa,0.584,Désiré Doué,0.5793,Rubén García,0.5672,David Brooks,0.5609,Josan,0.5576,Brahim Díaz,0.5487,Charles Herrmann,0.5413,Junior Messias,0.5264,Pontus Almqvist,0.5047,Arnaud Nordin,0.4942
Noah Edjouma,Extremo derecho,Adnan Januzaj,0.907,Seydou Fini,0.8679,Rachid Ghezzal,0.8481,Adama Traoré,0.8354,Alysson Edward,0.8315,Lorenzo Venturino,0.8275,Bradley Burrowes,0.8245,Samuel Chukwueze,0.8238,Anthony Elanga,0.8237,Abu Kamara,0.8237,Badredine Bouanani,0.8229,Alexander Legendre,0.8227,Jocelin Ta Bi,0.8123,Christian Conteh,0.8068,Daniel James,0.8059
Joel Asoro,Extremo derecho,Seydou Fini,0.9354,Lorenzo Venturino,0.9044,Christian Conteh,0.9036,Leon Bailey,0.8874,Patrick Roberts,0.8624,Cheveyo Muy,0.8584,Ernest Nuamah,0.8498,Cole Campbell,0.8496,Emir Sahiti,0.8383,Urko González,0.8332,Axel Camblan,0.8332,Bendito Mantato,0.8272,Daniel Díaz,0.8272,Yassine Benhattab,0.7975,Daniel James,0.79
Rachid Ghezzal,Extremo derecho,Abu Kamara,0.8873,Yaser Asprilla,0.8633,Noah Edjouma,0.8481,Adnan Januzaj,0.8368,Job Ochieng',0.8339,Zakaria Aboukhlal,0.8204,Malick Mbaye,0.8199,Tiago Gouveia,0.8109,Yassine Benhattab,0.8028,Lasso Coulibaly,0.7952,Haissem Hassan,0.779,Adama Traoré,0.7709,Kareem Tunde,0.7643,Daniel James,0.7598,Antoniu,0.757
Yassine Benhattab,Extremo derecho,Hugo González,0.9641,Erawan Garnier,0.964,Daniel Díaz,0.9404,Bendito Mantato,0.9404,Christian Conteh,0.9284,Badredine Bouanani,0.9195,Alysson Edward,0.8994,Daniel James,0.8975,Luis Guilherme,0.8902,Anthony Elanga,0.8812,Haissem Hassan,0.8681,Job Ochieng',0.8675,Axel Camblan,0.8669,Urko González,0.8669,Emir Sahiti,0.8639
Gauthier Hein,Extremo derecho,Pedro Neto,0.992,Tyrhys Dolan,0.8697,Tijjani Noslin,0.8387,Romain Del Castillo,0.8138,Aitor Ruibal,0.8115,Álex Sancris,0.7955,Josué Casimir,0.7638,Domenico Berardi,0.6335,Franco Mastantuono,0.4522,Morgan Guilavogui,0.3417,David Neres,0.2536,Franck Honorat,0.2406,Mohamed Salah,0.2154,Jamie Leweling,0.1931,Florian Thauvin,0.1789
Tiago Gouveia,Extremo derecho,Jesper Lindstrøm,0.8948,Antoniu,0.8669,Tay Abed,0.8496,Pablo Garcia,0.8317,Rachid Ghezzal,0.8109,Yeray Cabanzón,0.8066,Nicholas Pierini,0.7728,Ilias Akhomach,0.7728,Malick Mbaye,0.7669,Tyler Dibling,0.7666,Cyriaque Irié,0.7405,Joél Drakes-Thomas,0.7399,Dapo Afolayan,0.737,Kareem Tunde,0.7192,Yaser Asprilla,0.7123
Kaïl Boudache,Extremo derecho,Montrell Culbreath,0.9137,Bakery Jatta,0.8246,Jhon Arias,0.8095,Diego López,0.7825,Santiago Pierotti,0.6917,Eren Dinkçi,0.6804,Jan Thielmann,0.6608,Nicolas-Gerrit Kühn,0.6422,Jonathan Ikone,0.5918,Andreas Skov Olsen,0.5906,Patrick Wimmer,0.554,Joél Drakes-Thomas,0.5328,Malick Mbaye,0.5124,Brennan Johnson,0.4875,Iker Benito,0.4806
Florian Thauvin,Extremo derecho,Andrés Martín,0.9697,Musa Al-Taamari,0.9629,Ayoube Amaimouni,0.9598,Harry Wilson,0.9541,Nicolas Pépé,0.9449,Ilan Kebbal,0.9324,Jarrod Bowen,0.9189,Michael Olise,0.9172,Jamie Leweling,0.9155,Federico Bernardeschi,0.908,Ethan Mbappé,0.9029,Mason Greenwood,0.8889,Matìas Soulé,0.8828,Bryan Mbeumo,0.8791,Dango Ouattara,0.8744
Luca Koleosho,Extremo derecho,Ethan Mbappé,0.9518,Pedro,0.9119,Désiré Doué,0.8872,Antoine Semenyo,0.8629,Ibrahim Mbaye,0.8501,Harouna Djibrin,0.8309,Viktor Tsyhankov,0.825,Federico Bernardeschi,0.8249,Roberto Navarro,0.823,Rayan Philippe,0.8153,Maghnes Akliouche,0.8093,Iker Benito,0.8074,Ilan Kebbal,0.8056,Junior Messias,0.8038,Ferran Jutglà,0.8009
Gessime Yassine,Extremo derecho,Romain Esse,0.9067,Wilfried Gnonto,0.9016,Oscar Bobb,0.884,Pontus Almqvist,0.8712,Justin-Noël Kalumba,0.8602,Kareem Tunde,0.8541,Adnan Januzaj,0.7843,Tyler Dibling,0.7766,Dilane Bakwa,0.7537,Noah Edjouma,0.7322,Alexander Legendre,0.7225,Anthony Elanga,0.7201,Daniel Yáñez,0.7169,Lasso Coulibaly,0.7159,Alysson Edward,0.7158
Morgan Guilavogui,Extremo derecho,Franco Mastantuono,0.7678,Aitor Ruibal,0.7222,Josué Casimir,0.7018,Grady Diangana,0.6441,Tijjani Noslin,0.6424,Tyrhys Dolan,0.6378,Takuma Asano,0.5832,Domenico Berardi,0.5677,Álex Sancris,0.5309,Cyriaque Irié,0.5063,Romain Del Castillo,0.4775,Matteo Cancellieri,0.4586,Jonathan Ikone,0.4574,Patrick Wimmer,0.4466,Jayden Addai,0.4459
Ethan Mbappé,Extremo derecho,Luca Koleosho,0.9518,Pedro,0.9349,Ilan Kebbal,0.9283,Andrés Martín,0.9267,Nicolas Pépé,0.925,Antoine Semenyo,0.9129,Ayoube Amaimouni,0.9042,Florian Thauvin,0.9029,Michael Olise,0.9003,Dango Ouattara,0.8974,Federico Bernardeschi,0.8962,Ferran Jutglà,0.8871,Roberto Navarro,0.8866,Harry Wilson,0.8835,Karim Adeyemi,0.8747
Arnaud Nordin,Extremo derecho,Brahim Díaz,0.8478,Nathan Tella,0.839,Lamine Yamal,0.7761,Francisco Conceição,0.7604,Rodrygo,0.7443,Bukayo Saka,0.7138,Michael Olise,0.6971,Ilan Kebbal,0.6887,Godson Kyeremeh,0.684,Gabriel Strefezza,0.6821,Tiago Tomás,0.6714,Désiré Doué,0.6623,Pedro,0.6455,Gustav Isaksen,0.6231,Kike Barja,0.616
Maghnes Akliouche,Extremo derecho,Dango Ouattara,0.9184,Ritsu Doan,0.9166,Roberto Navarro,0.9163,Harouna Djibrin,0.8958,Kike Barja,0.8909,Nicolas Pépé,0.8847,Tajon Buchanan,0.8843,Ethan Mbappé,0.8707,Karim Adeyemi,0.8648,Harry Wilson,0.8626,Iker Benito,0.8587,Viktor Tsyhankov,0.8531,Ayoube Amaimouni,0.8512,Federico Chiesa,0.847,Antoine Semenyo,0.8449
Yeray Cabanzón,Extremo derecho,Ilias Akhomach,0.9866,Miguel Ángel Sierra,0.9743,Dapo Afolayan,0.9105,Tay Abed,0.8944,Romelle Donovan,0.8853,Jesper Lindstrøm,0.8644,Solly March,0.8417,Shea Lacey,0.836,Youssoupha Niang,0.8076,Tiago Gouveia,0.8066,Nicholas Pierini,0.7611,Jofre,0.694,Alexander Legendre,0.68,Pablo Garcia,0.6764,Antoniu,0.6588
Andrés Martín,Extremo derecho,Ayoube Amaimouni,0.9785,Nicolas Pépé,0.9752,Florian Thauvin,0.9697,Harry Wilson,0.966,Dango Ouattara,0.9543,Michael Olise,0.9532,Ilan Kebbal,0.95,Musa Al-Taamari,0.949,Ethan Mbappé,0.9267,Kike Barja,0.9234,Ferran Jutglà,0.9217,Lamine Yamal,0.9178,Jamie Leweling,0.9107,Karim Adeyemi,0.9024,Antoine Semenyo,0.899
Sulei Camara,Extremo derecho,Konan N'dri,0.8812,Estêvão Willian,0.8607,Federico Chiesa,0.8257,Bukayo Saka,0.8164,Gabriel Strefezza,0.7739,Nathan Tella,0.7486,Riccardo Orsolini,0.7415,Karim Adeyemi,0.7061,Ansgar Knauff,0.6994,Michael Olise,0.6943,Takefusa Kubo,0.6943,Matteo Cancellieri,0.684,Ferran Jutglà,0.6798,Kike Barja,0.6769,Antoine Semenyo,0.6713
Simon Adingra,Extremo izquierdo,Felix Mambimbi,0.9325,Alieu Fadera,0.7107,Tete Morente,0.7047,Kaoru Mitoma,0.6439,Amine Adli,0.6203,Bahereba Guirassy,0.6185,Heorhii Tsitaishvili,0.5775,Mathias Honsak,0.5516,Mathias Pereira Lage,0.5341,Coba da Costa,0.5157,Elias Saad,0.4967,Álex Baena,0.4747,Tidiam Gomis,0.4354,Jaidon Anthony,0.4338,Alimami Gory,0.4337
Jadon Sancho,Extremo izquierdo,Jacob Bruun Larsen,0.9582,Raúl Moro,0.922,Wilson Odobert,0.8513,Alessandro Cardinali,0.832,Yannik Wagner,0.831,Borja Sánchez Laborde,0.7946,Julien López,0.7836,Caio Henrique Oliveira Silva,0.7604,Jamie Gittens,0.7404,Yago Santiago,0.7382,Jack Harrison,0.7237,Agustín Albarracín,0.6773,Maycon Cardozo,0.6658,Noah Nsoki,0.6613,Moses Simon,0.6517
Jacob Bruun Larsen,Extremo izquierdo,Jadon Sancho,0.9582,Wilson Odobert,0.8863,Yannik Wagner,0.8716,Raúl Moro,0.8706,Caio Henrique Oliveira Silva,0.8413,Alessandro Cardinali,0.8262,Julien López,0.8125,Ben Bobzien,0.8009,Dwight McNeil,0.7654,Borja Sánchez Laborde,0.7608,Adil Hamdani,0.7499,Noah Nsoki,0.7227,Yago Santiago,0.7214,Ilyas Azizi,0.7155,Jack Harrison,0.709
Wilson Odobert,Extremo izquierdo,Yannik Wagner,0.892,Jacob Bruun Larsen,0.8863,Adil Hamdani,0.8544,Jadon Sancho,0.8513,Bryan Zaragoza,0.8085,Alessandro Cardinali,0.7949,Ilyas Azizi,0.7769,Borja Sánchez Laborde,0.7394,Raúl Moro,0.7278,Agustín Albarracín,0.7267,Julien López,0.7165,Ben Bobzien,0.7115,Wisdom Mike,0.7054,Paco Cortés,0.6899,Maycon Cardozo,0.6874
Romaine Mundle,Extremo izquierdo,Eliesse Ben Seghir,0.9401,Morgan Bokelé Mputu,0.9083,Lluc Castell,0.8687,Josip Brekalo,0.8589,Carlos Martín,0.8378,Ovie Ejaria,0.833,Aiman Dardari,0.825,Jonathan Rowe,0.8169,Ismaël Gharbi,0.8045,Linus Güther,0.7949,Juan Arango,0.7948,Elias Saad,0.7791,Jacob Ondrejka,0.7776,Hugo López,0.7745,Noah Nsoki,0.7723
Matheus Cunha,Extremo izquierdo,Soriba Diaoune,0.8963,Abde Ezzalzouli,0.8344,Largie Ramazani,0.8338,Khvicha Kvaratskhelia,0.7981,Bradley Barcola,0.794,Noah Okafor,0.7706,Alieu Njie,0.7514,Martial Godo,0.7465,Antony,0.7353,Ansu Fati,0.7341,Pablo Pagis,0.733,Rémi Himbert,0.7306,Mattia Felici,0.7257,Rio Ngumoha,0.7055,Emi Buendía,0.7
Crysencio Summerville,Extremo izquierdo,Alieu Fadera,0.8602,Livan Burcu,0.79,Emi Buendía,0.7861,Danny Loader,0.7034,Felix Mambimbi,0.5847,Amine Adli,0.5665,Nicolò Cambiaghi,0.5526,Marco Grüll,0.5502,Germán Valera,0.5176,Mattia Zaccagni,0.5047,Patrick Dorgu,0.5031,Pathé Mboup,0.4869,Ovie Ejaria,0.4864,Ander Barrenetxea,0.482,Alimami Gory,0.4613
Jamie Gittens,Extremo izquierdo,Alejandro Garnacho,0.8567,Raúl Moro,0.8477,Benjamín Domínguez,0.8218,Thiago Fernández,0.7697,Caio Henrique Oliveira Silva,0.7495,Jadon Sancho,0.7404,Bryan Gil,0.7313,Ibrahim Osman,0.7098,Jacob Bruun Larsen,0.7005,Riccardo Sottil,0.6816,Ruben Vargas,0.6703,Reiss Nelson,0.6169,Dwight McNeil,0.6078,Jack Harrison,0.6027,Wilson Odobert,0.5989
Nilson Angulo,Extremo izquierdo,Tom Watson,0.8776,Carlos Martín,0.8632,Ovie Ejaria,0.8414,Pathé Mboup,0.8409,Marco Grüll,0.8401,Josip Brekalo,0.8156,Veljko Birmančević,0.8075,Elias Saad,0.7773,Mathias Pereira Lage,0.7742,Cheikh Tidiane Sabaly,0.7733,Kaoru Mitoma,0.7644,Hugo López,0.7575,Eliesse Ben Seghir,0.7463,Paco Cortés,0.7267,Isak Jansson,0.72
Emi Buendía,Extremo izquierdo,Crysencio Summerville,0.7861,Sofiane Diop,0.7635,Alieu Njie,0.7578,Abde Ezzalzouli,0.7229,Williot Swedberg,0.7195,Matheus Cunha,0.7,Alimami Gory,0.6932,Rémi Himbert,0.6902,Patrick Dorgu,0.6406,Pere Milla,0.6364,Alieu Fadera,0.6149,Alberto Moleiro,0.6098,Martial Godo,0.6014,Noah Okafor,0.5935,Mattia Felici,0.5915
Rio Ngumoha,Extremo izquierdo,Jeremie Boga,0.8876,Allan Saint-Maximin,0.8221,Kenan Yıldız,0.8108,Pablo Pagis,0.7982,Leandro Trossard,0.795,Soriba Diaoune,0.7912,Martin Terrier,0.7888,Harvey Barnes,0.7856,Jeremy Doku,0.7751,Yan Diomandé,0.7338,Raphinha,0.7327,Khvicha Kvaratskhelia,0.7199,Abde Ezzalzouli,0.7164,Chris Führich,0.7095,Matheus Cunha,0.7055
Alex Iwobi,Extremo izquierdo,Callum Hudson-Odoi,0.8404,Jakub Kamiński,0.7778,Vincenzo Grifo,0.7542,Jack Harrison,0.7479,Linton Maina,0.6976,Fabio Baldé,0.6642,Julien López,0.6598,Félix Correia,0.6159,Heorhii Tsitaishvili,0.5915,Jeremy Sarmiento,0.5368,Jacob Bruun Larsen,0.5267,Ben Bobzien,0.5188,Moses Simon,0.5043,Dennis Johnsen,0.5027,Caio Henrique Oliveira Silva,0.4947
Gabriel Martinelli,Extremo izquierdo,Sheraldo Becker,0.7698,Álvaro García,0.6984,Armand Lauriente,0.6224,Marcus Rashford,0.6,Bryan Zaragoza,0.5743,Kamaldeen Sulemana,0.544,Marius Bülter,0.5406,Abdallah Sima,0.5406,Ibrahim Osman,0.5222,Igor Paixão,0.5167,Thiago Fernández,0.5013,Kenan Yıldız,0.4784,Chris Führich,0.4611,Malick Fofana,0.4539,Stephan El Shaarawy,0.4505
Callum Hudson-Odoi,Extremo izquierdo,Jack Harrison,0.9218,Vincenzo Grifo,0.8654,Alex Iwobi,0.8404,Félix Correia,0.7837,Dennis Johnsen,0.745,Moses Simon,0.7164,Heorhii Tsitaishvili,0.6578,Jakub Kamiński,0.6349,Manor Solomon,0.5854,Jadon Sancho,0.5853,Raúl Moro,0.5815,Jacob Bruun Larsen,0.5744,Ruben Vargas,0.5538,Jeremie Boga,0.5172,Julien López,0.5161
Noah Okafor,Extremo izquierdo,Alberto Moleiro,0.9348,Bradley Barcola,0.8643,Hugo Álvarez,0.8589,Yan Diomandé,0.8512,Martial Godo,0.8355,Jaidon Anthony,0.8168,Mattia Felici,0.8087,Ansu Fati,0.7754,Fabio Baldé,0.7747,Matheus Cunha,0.7706,Hamed Junior Traorè,0.7214,Martin Terrier,0.7112,Alimami Gory,0.704,Pablo Pagis,0.6988,Iñigo Vicente,0.6981
Patrick Dorgu,Extremo izquierdo,Amine Adli,0.8444,Hamed Junior Traorè,0.8331,Williot Swedberg,0.8157,Iñigo Vicente,0.8114,Afonso Moreira,0.8099,Ander Barrenetxea,0.8091,Mattia Felici,0.7836,Alimami Gory,0.7713,Bahereba Guirassy,0.7644,Lameck Banda,0.7557,Nicolò Cambiaghi,0.7112,Alieu Fadera,0.7075,Abde Ezzalzouli,0.6949,Jean Mattéo Bahoya,0.6932,Bazoumana Touré,0.6631
Jeremy Doku,Extremo izquierdo,Pablo Pagis,0.9407,Abde Ezzalzouli,0.9251,Leandro Trossard,0.8933,Afonso Moreira,0.8349,Jean Mattéo Bahoya,0.7971,Jeremie Boga,0.7863,Soriba Diaoune,0.7778,Rio Ngumoha,0.7751,Derry Scherhant,0.774,Iñigo Vicente,0.7504,Allan Saint-Maximin,0.7479,Yan Diomandé,0.7198,Hamed Junior Traorè,0.7162,Martial Godo,0.715,Gonçalo Guedes,0.7115
Kaoru Mitoma,Extremo izquierdo,Pathé Mboup,0.7896,Tom Watson,0.7767,Nilson Angulo,0.7644,Felix Mambimbi,0.7422,Veljko Birmančević,0.662,Ovie Ejaria,0.6547,Simon Adingra,0.6439,Elias Saad,0.6147,Cheikh Tidiane Sabaly,0.6068,Javi Puado,0.6048,Isak Jansson,0.5994,Carlos Martín,0.5984,Bahereba Guirassy,0.5842,Linus Güther,0.5765,Juan Arango,0.574
Jack Grealish,Extremo izquierdo,Alexander Røssing-Lelesiit,0.8471,Amine Sbai,0.776,Jesus Rodríguez,0.7752,Adrián Liso,0.7387,Jan Virgili,0.7309,Luis Díaz,0.6898,Philip Otele,0.6278,Nicolò Cambiaghi,0.6032,Germán Valera,0.5872,Lameck Banda,0.5849,Yann Gboho,0.5598,Mattia Zaccagni,0.5361,Thiago Almada,0.5339,Anthony Gordon,0.5208,Joel Roca,0.5054
Anthony Gordon,Extremo izquierdo,Joel Roca,0.8464,Ilyas Chaira,0.7879,Amine Sbai,0.7185,Luis Díaz,0.6854,Antony,0.578,Adrián Liso,0.5696,Jan Virgili,0.5669,Brugui,0.5611,Jack Grealish,0.5208,Kenan Yıldız,0.5084,Alexander Røssing-Lelesiit,0.5072,Lameck Banda,0.4968,Víctor Muñoz,0.4939,Pere Milla,0.493,Malick Fofana,0.4813
Leandro Trossard,Extremo izquierdo,Allan Saint-Maximin,0.9284,Jeremy Doku,0.8933,Jeremie Boga,0.8673,Pablo Pagis,0.8079,Martin Terrier,0.7996,Abde Ezzalzouli,0.7995,Rio Ngumoha,0.795,Osame Sahraoui,0.794,Gonçalo Guedes,0.7696,Yan Diomandé,0.7616,Jean Mattéo Bahoya,0.7593,Bazoumana Touré,0.7549,Nico Williams,0.7385,Raphinha,0.722,Marcus Rashford,0.7087
Alejandro Garnacho,Extremo izquierdo,Jamie Gittens,0.8567,Reiss Nelson,0.7965,Ruben Vargas,0.7528,Ibrahim Osman,0.6983,Riccardo Sottil,0.6708,Raúl Moro,0.647,Chidera Ejuke,0.6373,Benjamín Domínguez,0.6349,Caio Henrique Oliveira Silva,0.6199,Jack Harrison,0.5978,Jonathan Rowe,0.5886,Hugo Bolin,0.5682,Jesus Rodríguez,0.5482,Thiago Fernández,0.5351,Jota Silva,0.5299
Dwight McNeil,Extremo izquierdo,Caio Henrique Oliveira Silva,0.9323,Hugo López,0.9228,Tadjidine Mmadi,0.8888,Josip Brekalo,0.8854,Ben Bobzien,0.8286,Julien López,0.794,Ilyas Azizi,0.7684,Morgan Bokelé Mputu,0.7662,Jacob Bruun Larsen,0.7654,Noah Nsoki,0.7527,Adil Hamdani,0.7173,Romaine Mundle,0.7152,Jonathan Rowe,0.7152,Mathias Honsak,0.6898,Jota Silva,0.6869
Amine Adli,Extremo izquierdo,Bahereba Guirassy,0.8672,Patrick Dorgu,0.8444,Hamed Junior Traorè,0.7896,Alieu Fadera,0.7763,Jaidon Anthony,0.723,Alimami Gory,0.7134,Pere Milla,0.7062,Williot Swedberg,0.7058,Derry Scherhant,0.6838,Felix Mambimbi,0.6794,Mattia Felici,0.6705,Kevin Schade,0.6545,Martial Godo,0.6483,Lameck Banda,0.6342,Simon Adingra,0.6203
Harvey Barnes,Extremo izquierdo,Ansu Fati,0.8593,Alisson Santos,0.8462,Rio Ngumoha,0.7856,Kenan Yıldız,0.7712,Martin Terrier,0.7548,Chris Führich,0.7424,Alfon,0.7137,Raphinha,0.711,Allan Saint-Maximin,0.711,Bradley Barcola,0.7063,Ademola Lookman,0.6999,Said El Mala,0.691,Samuel Mbangula,0.6735,Marcus Rashford,0.6703,Juanmi,0.662
Cody Gakpo,Extremo izquierdo,Armand Lauriente,0.8824,Nico Williams,0.8339,Issa Soumaré,0.7846,Gonçalo Guedes,0.7697,Bazoumana Touré,0.738,Marcus Rashford,0.7257,Ademola Lookman,0.7157,Abdallah Sima,0.7058,Marius Bülter,0.6705,Allan Saint-Maximin,0.6656,Rafael Leão,0.657,Vinicius Júnior,0.656,Said El Mala,0.636,Derry Scherhant,0.6286,Leandro Trossard,0.62
Kevin Schade,Extremo izquierdo,Pere Milla,0.9053,Philip Otele,0.8457,Lameck Banda,0.7667,Luis Díaz,0.7502,Williot Swedberg,0.7463,Thiago Almada,0.6969,Alimami Gory,0.6822,Alieu Njie,0.6777,Bahereba Guirassy,0.6574,Alberto Moleiro,0.6569,Amine Adli,0.6545,Hugo Álvarez,0.6295,Martial Godo,0.629,Mattia Felici,0.6138,Patrick Dorgu,0.6126
Jaidon Anthony,Extremo izquierdo,Martial Godo,0.8922,Alimami Gory,0.8201,Noah Okafor,0.8168,Alberto Moleiro,0.8137,Samuel Mbangula,0.8021,Hamed Junior Traorè,0.7969,Hugo Álvarez,0.7956,Bradley Barcola,0.7922,Gonçalo Guedes,0.7874,Yan Diomandé,0.7756,Juanmi,0.7748,Williot Swedberg,0.7533,Derry Scherhant,0.7437,Ansu Fati,0.7328,Said El Mala,0.7327
Jota Silva,Extremo izquierdo,Agustín Albarracín,0.8967,Ben Bobzien,0.885,Ilyas Azizi,0.8815,Ismaël Gharbi,0.8747,Morgan Bokelé Mputu,0.874,Chidera Ejuke,0.8328,Maycon Cardozo,0.8226,Jonathan Rowe,0.8035,Ibrahim Salah,0.7824,Adil Hamdani,0.7773,Noah Nsoki,0.7618,Yannik Wagner,0.7371,Caio Henrique Oliveira Silva,0.7248,Jaydon Amauri Banel,0.7075,Josip Brekalo,0.7026
Reiss Nelson,Extremo izquierdo,Alejandro Garnacho,0.7965,Antonio Nusa,0.7528,Hugo Bolin,0.6892,Osame Sahraoui,0.6744,Ibrahim Osman,0.6706,Jamie Gittens,0.6169,Benjamín Domínguez,0.5477,Jesus Rodríguez,0.5211,Nicolás González,0.513,Jonathan Rowe,0.492,Wilson Odobert,0.4788,Ruben Vargas,0.4705,Rodrigo Riquelme,0.4363,Jack Harrison,0.4306,Thiago Fernández,0.3993
Jesse Derry,Extremo izquierdo,Javier Llabrés,0.9317,Anthony Bermont,0.7768,Wisdom Mike,0.75,Ilyas Azizi,0.7298,Maxwel Cornet,0.7126,Adil Hamdani,0.7074,Tyrique George,0.6726,Víctor Muñoz,0.6455,Jonathan Rowe,0.6421,Nicolás Serrano,0.641,Ismaël Gharbi,0.6361,Bryan Zaragoza,0.6145,Tadjidine Mmadi,0.5815,Wilson Odobert,0.5765,Josip Brekalo,0.5762
Jaydon Amauri Banel,Extremo izquierdo,Maycon Cardozo,0.9756,Lluc Castell,0.9322,Nicolás González,0.9116,Agustín Albarracín,0.9093,Borja Sánchez Laborde,0.893,Alessandro Cardinali,0.8742,Noah Nsoki,0.8401,Yannik Wagner,0.8184,Ibrahim Salah,0.7637,Aiman Dardari,0.7623,Julien López,0.7387,Morgan Bokelé Mputu,0.7279,Juan Arango,0.7272,Linus Güther,0.7247,Romaine Mundle,0.7204
Tom Watson,Extremo izquierdo,Carlos Martín,0.9327,Nilson Angulo,0.8776,Isak Jansson,0.832,Veljko Birmančević,0.8121,Javi Puado,0.7947,Pathé Mboup,0.7917,Kaoru Mitoma,0.7767,Paco Cortés,0.765,Eliesse Ben Seghir,0.7404,Jeremy Sarmiento,0.7159,Elias Saad,0.7146,Jacob Ondrejka,0.7114,Ovie Ejaria,0.7088,Lucas Michal,0.678,Linus Güther,0.6489
Tyrique George,Extremo izquierdo,Maxwel Cornet,0.9382,Anthony Bermont,0.8797,Javier Llabrés,0.7867,Bryan Zaragoza,0.729,Paco Cortés,0.7063,Josip Brekalo,0.703,Jesse Derry,0.6726,Wisdom Mike,0.662,Mathias Pereira Lage,0.6564,Tadjidine Mmadi,0.6548,Nilson Angulo,0.6505,Carlos Martín,0.633,Jeremy Sarmiento,0.6169,Veljko Birmančević,0.5992,Tom Watson,0.582
Thiago Almada,Extremo izquierdo,Kevin Schade,0.6969,Philip Otele,0.6871,Germán Valera,0.6366,Adrián Liso,0.6311,Amine Sbai,0.6129,Mattia Zaccagni,0.6096,Pere Milla,0.5728,Lameck Banda,0.5536,Jack Grealish,0.5339,Jan Virgili,0.5311,Hugo Álvarez,0.5166,Fabio Baldé,0.5089,Luis Díaz,0.5053,Bahereba Guirassy,0.4862,Noah Okafor,0.4659
Adrián Liso,Extremo izquierdo,Amine Sbai,0.8475,Alexander Røssing-Lelesiit,0.8314,Mattia Zaccagni,0.8044,Jack Grealish,0.7387,Thiago Almada,0.6311,Joel Roca,0.6309,Brugui,0.6301,Luis Díaz,0.625,Kevin Schade,0.6105,Philip Otele,0.6076,Lameck Banda,0.5821,Nicolò Cambiaghi,0.5776,Anthony Gordon,0.5696,Ilyas Chaira,0.5644,Pere Milla,0.5616
Largie Ramazani,Extremo izquierdo,Matheus Cunha,0.8338,Soriba Diaoune,0.7726,Stephan El Shaarawy,0.7406,Khvicha Kvaratskhelia,0.7046,Mattia Felici,0.6962,Bradley Barcola,0.6421,Igor Paixão,0.6338,Isak Jansson,0.6317,Antony,0.6265,Abde Ezzalzouli,0.6152,Alieu Njie,0.6076,Abdallah Sima,0.5933,Vinicius Júnior,0.5922,Malick Fofana,0.576,Emi Buendía,0.5675
Nico Williams,Extremo izquierdo,Gonçalo Guedes,0.9551,Armand Lauriente,0.9181,Marcus Rashford,0.903,Derry Scherhant,0.8903,Marius Bülter,0.8882,Said El Mala,0.8855,Raphinha,0.8822,Igor Paixão,0.8583,Khvicha Kvaratskhelia,0.8476,Malick Fofana,0.8395,Cody Gakpo,0.8339,Vinicius Júnior,0.8269,Martial Godo,0.8265,Kenan Yıldız,0.7965,Allan Saint-Maximin,0.7765
Williot Swedberg,Extremo izquierdo,Martial Godo,0.9122,Alimami Gory,0.905,Alieu Njie,0.8822,Sofiane Diop,0.8566,Gonçalo Guedes,0.8296,Patrick Dorgu,0.8157,Said El Mala,0.8144,Abde Ezzalzouli,0.8089,Alberto Moleiro,0.8066,Yan Diomandé,0.7853,Igor Paixão,0.7696,Derry Scherhant,0.769,Pere Milla,0.765,Vinicius Júnior,0.7636,Hamed Junior Traorè,0.7597
Bryan Gil,Extremo izquierdo,Cheikh Tidiane Sabaly,0.8461,Ovie Ejaria,0.8209,Coba da Costa,0.7993,Mathias Pereira Lage,0.7982,Jamie Gittens,0.7313,Romaine Mundle,0.706,Elias Saad,0.7013,Abde Rebbach,0.6811,Álex Baena,0.6802,Caio Henrique Oliveira Silva,0.6701,Dwight McNeil,0.6679,Yago Santiago,0.6625,Danny Loader,0.662,Eliesse Ben Seghir,0.6547,Ibrahim Osman,0.6546
