Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
João Pedro,Delantero centro,Michael Gregoritsch,0.9369,Ange-Yoan Bonny,0.9299,Robinio Vaz,0.9158,Ayoze Pérez,0.9028,Richarlison,0.8997,Stefanos Tzimas,0.8929,Marcus Thuram,0.8844,Breel Embolo,0.8817,Amine Gouiri,0.8735,Ermedin Demirović,0.8715,Lautaro Martínez,0.8712,Artem Dovbyk,0.8669,Jonathan David,0.8583,Hugo Ekitike,0.8491,Hamza Igamane,0.8404
Robert Lewandowski,Delantero centro,Giorgi Guliashvili,0.9923,Bamba Dieng,0.9822,Ferrán Torres,0.9659,Asier Villalibre,0.9595,Callum Wilson,0.9572,Donyell Malen,0.9508,Ollie Watkins,0.9492,Patrik Schick,0.9278,Benjamin Šeško,0.8987,Ragnar Ache,0.8975,Harry Kane,0.8948,Erling Haaland,0.8947,Giovanni Simeone,0.8932,Taiwo Awoniyi,0.8848,Roman Yaremchuk,0.8842
Endrick,Delantero centro,Dane Scarlett,0.8218,Jonah Kusi-Asare,0.8218,Ibrahim Kanté,0.7902,Ryan Rodin,0.7902,Enzo Molebe,0.7902,Bojan Miovski,0.7902,Pau Cabanes,0.7902,Theo Bair,0.7902,Giuseppe Ambrosino,0.7795,Louis Buffon,0.7795,Ugo Lamare,0.7782,Asier Hierro,0.7779,Francesco Camarda,0.7775,Fynn Schenten,0.7771,Jan Urbich,0.7697
Mateo Joseph,Delantero centro,Joshua King,0.9628,Adrian Benedyczak,0.9393,Ezequiel Ávila,0.8505,Giuliano Simeone,0.8486,Christian Kouamé,0.839,Arthur,0.8387,Stefano Moreo,0.8332,Sandro Kulenović,0.8197,Amady Camara,0.8194,Florian Sotoca,0.8172,Matthis Abline,0.8154,Marvin Pieringer,0.7985,Randal Kolo Muani,0.7768,Mathys Tel,0.7686,Hwang Hee-chan,0.7675
Luis Vázquez,Delantero centro,M'Bala Nzola,0.9662,Jeff Ekhator,0.8105,Santi Franco,0.7708,Antonio Sanabria,0.7289,Salomón Rondón,0.7109,Roberto Piccoli,0.7016,Junior Adamu,0.6957,Kenny Quetant,0.6893,Damián Pizarro,0.6428,Ibou Sané,0.6383,Mikkel Kaufmann,0.627,Lyle Foster,0.6031,Mateo Pellegrino,0.603,Daniel Mikołajewski,0.6016,Thiago Borbas,0.5721
Kiké,Delantero centro,Nikola Krstović,0.9259,Charalampos Kostoulas,0.8985,Cédric Bakambu,0.8931,Ricky-Jade Jones,0.8624,Cristhian Stuani,0.8502,Andrea Belotti,0.7798,Enes Ünal,0.7789,Rémy Labeau Lascary,0.7786,Moise Kean,0.7554,Omar Marmoush,0.7538,Valentín Castellanos,0.7525,Keinan Davis,0.7328,Elye Wahi,0.7313,Marcus Thuram,0.7206,Deniz Undav,0.7203
Asier Hierro,Delantero centro,Taichi Hara,0.995,Alejo Sarco,0.9942,Marc Guiu,0.9835,Sean Neave,0.983,Laurs Skjellerup,0.9806,Enzo Molebe,0.9686,Theo Bair,0.9686,Ibrahim Kanté,0.9686,Pau Cabanes,0.9686,Ryan Rodin,0.9686,Bojan Miovski,0.9686,Faris Pemi Moumbagna,0.9581,Matteo Lavelli,0.9185,Fynn Schenten,0.9105,Sérigné Diop,0.8981
Karl Etta Eyong,Delantero centro,Hugo Ekitike,0.9783,Robert Glatzel,0.9226,Stefanos Tzimas,0.9083,Fisnik Asllani,0.8968,Georges Mikautadze,0.8866,Toni Martínez,0.8537,Caleb Ekuban,0.8509,Manex Carmona,0.8505,Kader Meïté,0.8406,Erling Haaland,0.8404,Roman Yaremchuk,0.8393,Ousmane Dembélé,0.838,Artem Dovbyk,0.83,Jonathan Burkardt,0.8104,Anastasios Douvikas,0.8038
Pau Cabanes,Delantero centro,Ibrahim Kanté,1.0,Bojan Miovski,1.0,Enzo Molebe,1.0,Ryan Rodin,1.0,Theo Bair,1.0,Asier Hierro,0.9686,Faris Pemi Moumbagna,0.9529,Sasa Kalajdzic,0.9401,Taichi Hara,0.9388,Matteo Lavelli,0.9368,Alejo Sarco,0.9363,Fynn Schenten,0.9345,Francesco Camarda,0.9214,Marc Guiu,0.9076,Dane Scarlett,0.9069
Isaac Romero,Delantero centro,Federico Viñas,0.8973,Amin Sarr,0.8785,Álvaro Morata,0.8364,Gonçalo Ramos,0.821,Lucas Boyé,0.8204,Tim Lemperle,0.8099,Emersonn,0.8088,Gorka Guruzeta,0.7796,Rafiu Durosinmi,0.6395,Ludovic Ajorque,0.6262,Budu Zivzivadze,0.5121,Sandro Kulenović,0.5013,Sergio Camello,0.4913,Arana,0.4722,Emmanuel Lago,0.4578
